# Rough Heston cross-validation
# S0=1.0, r=0, V0=theta
# Loaded CSVs:
#   Octave       → 42 cases  [VALID]
#   WS-Pade      → 42 cases  [VALID]
#   Julia        → 42 cases  [VALID]
#   roughprix    → 1 cases  [INVALID (excluded from ball)]
#   R-Adams      → file not found — run r_adams grid first  [INVALID (excluded from ball)]
#   qipc         → file not found — run qipc grid first  [INVALID (excluded from ball)]
# Consensus tolerance: 0.01 (one penny per unit spot)
# Reference ball: midpoint = mean of N valid samples (even weights),
#                 radius   = sample standard deviation (ddof=1) of valid samples

case_id,Octave_call,Octave_put,WS-Pade_call,WS-Pade_put,Julia_call,Julia_put,roughprix_call,roughprix_put,R-Adams_call,R-Adams_put,qipc_call,qipc_put,n,mid_call,spread_call,radius_call,mid_put,spread_put,radius_put,max_call_diff,max_put_diff
M1_T1.00000000_K1.100,0.167706468203,0.267706468203,0.167644701909,0.267644701909,0.167650029523,0.267650029523,ERR,ERR,ERR,ERR,ERR,ERR,3,0.167667066545,0.000039401658,0.000034226654,0.267667066545,0.000039401658,0.000034226654,6.18e-05,6.18e-05
M1_T1.00000000_K1.200,0.133465334289,0.333465334289,0.133385048851,0.333385048851,0.133390449386,0.333390449386,ERR,ERR,ERR,ERR,ERR,ERR,3,0.133413610842,0.000051723447,0.000044875134,0.333413610842,0.000051723447,0.000044875134,8.03e-05,8.03e-05
M2_T0.00396825_K0.800,0.200000000000,0,0.200000000000,0,0.199999999999,0,ERR,ERR,ERR,ERR,ERR,ERR,3,0.200000000000,0,0,0,0,0,1.00e-12,1.00e-12
M2_T0.00396825_K0.900,0.100000000004,0,0.100000000003,0,0.100000000004,0,ERR,ERR,ERR,ERR,ERR,ERR,3,0.100000000004,0,0,0,0,0,1.00e-12,1.00e-12
M2_T0.00396825_K0.950,0.050001578180,0.000001578180,0.050001588866,0.000001588866,0.050001589391,0.000001589391,ERR,ERR,ERR,ERR,ERR,ERR,3,0.050001585479,0.000000007299,0.000000006327,0.000001585479,0.000000007299,0.000000006327,1.12e-08,1.12e-08
M2_T0.00396825_K1.000,0.005001857014,0.005001857014,0.005001779421,0.005001779421,0.005001775032,0.005001775032,ERR,ERR,ERR,ERR,ERR,ERR,3,0.005001803822,0.000000053192,0.000000046118,0.005001803822,0.000000053192,0.000000046118,8.20e-08,8.20e-08
M2_T0.00396825_K1.050,ERR,ERR,0.000000001085,0.050000001085,0.000000001089,0.050000001089,ERR,ERR,ERR,ERR,ERR,ERR,2,0.000000001087,0,0,0.050000001087,0,0,4.00e-12,4.00e-12
M2_T0.00396825_K1.100,0.000000034205,0.100000034205,0,0.100000000000,0,0.100000000000,ERR,ERR,ERR,ERR,ERR,ERR,3,0.000000011402,0.000000022803,0.000000019748,0.100000011402,0.000000022803,0.000000019748,3.42e-08,3.42e-08
M2_T0.00396825_K1.200,0.000000036329,0.200000036329,0,0.200000000000,0,0.200000000000,ERR,ERR,ERR,ERR,ERR,ERR,3,0.000000012110,0.000000024219,0.000000020975,0.200000012110,0.000000024219,0.000000020975,3.63e-08,3.63e-08
M2_T0.01923077_K0.800,0.200000000973,0.000000000973,0.200000000936,0.000000000936,0.200000000992,0.000000000992,ERR,ERR,ERR,ERR,ERR,ERR,3,0.200000000967,0,0,0.000000000967,0,0,5.60e-11,5.60e-11
