T,n,rmse_classical,rmse_rough
0.010958904109589041,112,0.009646717320466782,0.010023025157289048
0.019178082191780823,203,0.014578534543256843,0.014534749007055852
0.021917808219178082,259,0.01919665961130198,0.019158314550664697
0.030136986301369864,183,0.013817989592554765,0.013807202550194518
0.03287671232876712,182,0.014608800161164774,0.014609762356724839
0.03561643835616438,179,0.014936158079802475,0.014944651043477699
0.038356164383561646,176,0.014906813749689727,0.014923279131420695
0.0410958904109589,947,0.024480090278538702,0.024480035593260507
0.049315068493150684,158,0.012676258157763381,0.012661750787947136
0.052054794520547946,152,0.012507844203253666,0.012499541349478144
0.0547945205479452,149,0.012235364390396486,0.012235483894193426
0.057534246575342465,147,0.012079634171333509,0.012088295411975728
0.06027397260273973,224,0.011730111917483474,0.011742583444294732
0.0684931506849315,122,0.01172776986360612,0.01170944075148385
0.07123287671232877,119,0.011378132713873385,0.011368365102013767
0.07397260273972603,118,0.01090295530017013,0.01091178252115873
0.07671232876712329,117,0.011028040214338649,0.011052753564063432
0.07945205479452055,452,0.018538657925998122,0.018572487454880493
0.08767123287671233,104,0.01003958195392058,0.010050994141588453
0.09041095890410959,100,0.01004645179625133,0.010059642630772974
0.09315068493150686,97,0.0100054274599103,0.010019845946578114
0.0958904109589041,93,0.009596597078241011,0.009611222186959723
0.09863013698630137,186,0.008843322075292016,0.008855598640679651
0.10684931506849316,56,0.011627325057351388,0.011652785580487842
0.1095890410958904,56,0.011440351018296505,0.011466282156842526
0.1178082191780822,146,0.009166106800166352,0.009184585889572302
0.136986301369863,840,0.01268103865300692,0.012684761276206572
0.15616438356164383,110,0.010477854499276651,0.01048465614825496
