N,abserr_H010,abserr_H049
64,5.681550442418693e-5,3.1882744641390703e-6
128,1.874683226000035e-5,8.022119569237125e-7
256,6.138988750992458e-6,2.0137850543442678e-7
512,1.974952418172832e-6,5.009501089391281e-8
1024,6.016858321952989e-7,1.2005042304520396e-8
