tau,Re_zeta,Re_zeta_st
63.39399279,3.065428722,5.071815905
63.71271175,1.991080437,3.880677340
64.03180801,0.8989051545,2.807142485
64.35128040,0.08920879002,2.029416066
64.67112782,-0.2560533180,1.623533551
64.99134912,-0.1288993674,1.559927879
65.31194318,0.3145897589,1.734094815
65.63290889,0.8244944559,2.015890707
65.95424514,1.159324912,2.297921238
66.27595082,1.180057500,2.525903058
66.59802485,0.8994605089,2.701611438
66.92046614,0.4683874367,2.860053504
67.24327359,0.1060552316,3.033517648
67.56644614,0.003734167579,3.221598978
67.88998272,0.2417349881,3.384171944
68.21388226,0.7538182457,3.462984522
68.53814370,1.353451812,3.421699642
68.86276600,1.810700773,3.282176704
69.18774810,1.947469567,3.134099908
69.51308898,1.711086542,3.107435984
69.83878759,1.195173661,3.316747680
70.16484291,0.5988323043,3.802623180
70.49125392,0.1413046442,4.499439305
70.81801961,-0.03151759990,5.248080573
71.14513896,0.09166575408,5.852455683
71.47261096,0.3857899065,6.159182396
71.80043463,0.6491436578,6.129024475
72.12860897,0.6998468169,5.870257891
72.45713299,0.4674349185,5.616810993
72.78600571,0.03837926468,5.653275052
73.11522616,-0.3673634286,6.208895566
73.44479336,-0.4827970272,7.357161105
73.77470635,-0.1097923204,8.960660192
74.10496417,0.7835341311,10.68883389
74.43556586,2.026662609,12.11072182
74.76651048,3.290880573,12.83428259
75.09779708,4.200459465,12.64155479
75.42942473,4.469196171,11.56650661
75.76139248,4.008790753,9.883190900
76.09369942,2.965315016,8.007671782
76.42634461,1.667998256,6.352133843
76.75932714,0.5095029227,5.187995982
77.09264610,-0.1955724009,4.569373753
77.42630058,-0.3185518730,4.342689756
77.76028967,0.05053465041,4.234429311
78.09461247,0.6557698473,3.980376655
78.42926810,1.189320830,3.445716494
78.76425566,1.417745555,2.689724405
79.09957426,1.268255044,1.949392232
79.43522303,0.8411580089,1.546722964
79.77120110,0.3473335696,1.754555001
80.10750759,0.002015634179,2.674114137
80.44414163,-0.07568083856,4.175143419
80.78110237,0.08793411679,5.925241148
81.11838895,0.3441481255,7.498080627
81.45600051,0.5047237863,8.516968136
81.79393621,0.4442954982,8.776408205
82.13219521,0.1725514628,8.296205547
82.47077666,-0.1599665596,7.293369850
82.80967974,-0.3279276771,6.091085675
83.14890360,-0.1405771028,5.005796971
83.48844743,0.4559566016,4.255575477
83.82831040,1.332897709,3.918058807
84.16849169,2.215191751,3.943458714
84.50899050,2.788831947,4.207275208
84.84980601,2.834702605,4.575162395
85.19093741,2.330050907,4.951764314
85.53238391,1.470362169,5.295771671
85.87414471,0.5978861586,5.601054334
86.21621901,0.06402880531,5.861197849
86.55860603,0.08312015907,6.043330600
86.90130499,0.6407712577,6.091058067
87.24431509,1.497860017,5.957641119
87.58763556,2.290279610,5.649602468
87.93126564,2.682711392,5.250924192
88.27520454,2.510460723,4.906375807
88.61945151,1.847916294,4.765380606
88.96400578,0.9738937774,4.911809933
89.30886659,0.2492330324,5.315800303
89.65403319,-0.03943953570,5.834760002
89.99950483,0.1988447511,6.267229091
90.34528077,0.8255586231,6.437686532
90.69136025,1.539923047,6.275080815
